actual,predicted
Tanker,Tanker
Tanker,Tanker
Cargo,Cargo
Tanker,Tanker
Cargo,Cargo
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Cargo,Cargo
Tanker,Tanker
Cargo,Cargo
Tanker,Tanker
Search and Rescue,Special Craft
Special Craft,Cargo
Cargo,Cargo
Tanker,Tanker
Cargo,Cargo
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Search and Rescue,Special Craft
Tanker,Tanker
Search and Rescue,Special Craft
Tanker,Tanker
Search and Rescue,Special Craft
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Search and Rescue,Special Craft
Tanker,Tanker
Tanker,Tanker
Tug,Tanker
Tanker,Tanker
Tug,Tanker
Tanker,Tanker
Search and Rescue,Special Craft
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
High-Speed Craft,High-Speed Craft
Tanker,Tanker
Tug,Tanker
Tanker,Tanker
High-Speed Craft,High-Speed Craft
Tanker,Tanker
Tanker,Tanker
High-Speed Craft,High-Speed Craft
High-Speed Craft,High-Speed Craft
Search and Rescue,Special Craft
Cargo,Tug
Tanker,Tanker
Cargo,Cargo
Search and Rescue,Special Craft
High-Speed Craft,High-Speed Craft
Search and Rescue,Special Craft
Cargo,Cargo
Tanker,Tanker
Cargo,Cargo
High-Speed Craft,Cargo
Search and Rescue,Special Craft
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Cargo,Cargo
High-Speed Craft,High-Speed Craft
Tanker,Tanker
Tanker,Tanker
High-Speed Craft,High-Speed Craft
Cargo,Special Craft
Tug,Tanker
Tanker,Tanker
Cargo,Special Craft
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Tanker
Tanker,Cargo
Special Craft,Other
Cargo,Special Craft
Special Craft,Other
Special Craft,unknown
Tanker,Tanker
Special Craft,Search and Rescue
Cargo,Special Craft
Search and Rescue,Special Craft
Special Craft,unknown
Special Craft,Other
Search and Rescue,Special Craft
Special Craft,Other
Special Craft,unknown
Cargo,Special Craft
Tanker,Tanker
Special Craft,unknown
Tanker,Tanker
